result = inputNumber=714, squareRes=26.720778431774775, delay=175, status=PASS
result = inputNumber=528, squareRes=22.978250586152114, delay=145, status=PASS
result = inputNumber=390, squareRes=19.748417658131498, delay=249, status=FAIL
result = inputNumber=717, squareRes=26.77685567799177, delay=178, status=PASS
result = inputNumber=906, squareRes=30.099833886584822, delay=183, status=PASS
result = inputNumber=97, squareRes=9.848857801796104, delay=172, status=PASS
result = inputNumber=103, squareRes=10.14889156509222, delay=175, status=PASS
result = inputNumber=795, squareRes=28.19574435974337, delay=175, status=PASS
result = inputNumber=656, squareRes=25.612496949731394, delay=150, status=PASS
result = inputNumber=396, squareRes=19.8997487421324, delay=178, status=PASS
result = inputNumber=542, squareRes=23.280893453645632, delay=190, status=PASS
result = inputNumber=261, squareRes=16.15549442140351, delay=189, status=PASS
result = inputNumber=878, squareRes=29.631064780058107, delay=192, status=PASS
result = inputNumber=110, squareRes=10.488088481701515, delay=161, status=PASS
result = inputNumber=470, squareRes=21.6794833886788, delay=162, status=PASS
result = inputNumber=942, squareRes=30.692018506445613, delay=176, status=PASS
result = inputNumber=642, squareRes=25.337718918639855, delay=170, status=PASS
result = inputNumber=194, squareRes=13.92838827718412, delay=191, status=PASS
result = inputNumber=443, squareRes=21.047565179849187, delay=137, status=PASS
result = inputNumber=506, squareRes=22.494443758403985, delay=161, status=PASS
result = inputNumber=637, squareRes=25.238858928247925, delay=159, status=PASS
result = inputNumber=979, squareRes=31.28897569432403, delay=147, status=PASS
result = inputNumber=881, squareRes=29.68164415931166, delay=176, status=PASS
result = inputNumber=245, squareRes=15.652475842498529, delay=153, status=PASS
result = inputNumber=78, squareRes=8.831760866327848, delay=163, status=PASS
result = inputNumber=83, squareRes=9.1104335791443, delay=152, status=PASS
result = inputNumber=733, squareRes=27.073972741361768, delay=163, status=PASS
result = inputNumber=546, squareRes=23.366642891095847, delay=157, status=PASS
result = inputNumber=478, squareRes=21.863211109075447, delay=162, status=PASS
result = inputNumber=404, squareRes=20.09975124224178, delay=159, status=PASS
result = inputNumber=354, squareRes=18.81488772222678, delay=144, status=PASS
result = inputNumber=314, squareRes=17.72004514666935, delay=164, status=PASS
result = inputNumber=620, squareRes=24.899799195977465, delay=169, status=PASS
result = inputNumber=54, squareRes=7.3484692283495345, delay=196, status=PASS
result = inputNumber=596, squareRes=24.413111231467404, delay=167, status=PASS
result = inputNumber=548, squareRes=23.40939982143925, delay=152, status=PASS
result = inputNumber=995, squareRes=31.54362059117501, delay=167, status=PASS
result = inputNumber=697, squareRes=26.40075756488817, delay=160, status=PASS
result = inputNumber=106, squareRes=10.295630140987, delay=181, status=PASS
