inputNumber=617, squareRes=24.839484696748443, delay=159, status=PASS
inputNumber=620, squareRes=24.899799195977465, delay=181, status=PASS
inputNumber=885, squareRes=29.748949561287034, delay=156, status=PASS
inputNumber=180, squareRes=13.416407864998739, delay=160, status=PASS
inputNumber=670, squareRes=25.88435821108957, delay=151, status=PASS
inputNumber=584, squareRes=24.166091947189145, delay=155, status=PASS
inputNumber=215, squareRes=14.66287829861518, delay=154, status=PASS
inputNumber=892, squareRes=29.866369046136157, delay=146, status=PASS
inputNumber=455, squareRes=21.330729007701542, delay=165, status=PASS
inputNumber=845, squareRes=29.068883707497267, delay=162, status=PASS
inputNumber=590, squareRes=24.289915602982237, delay=158, status=PASS
inputNumber=534, squareRes=23.108440016582687, delay=149, status=PASS
inputNumber=929, squareRes=30.479501308256342, delay=168, status=PASS
inputNumber=57, squareRes=7.54983443527075, delay=170, status=PASS
inputNumber=215, squareRes=14.66287829861518, delay=156, status=PASS
inputNumber=714, squareRes=26.720778431774775, delay=148, status=PASS
inputNumber=952, squareRes=30.854497241083024, delay=131, status=PASS
inputNumber=328, squareRes=18.110770276274835, delay=157, status=PASS
inputNumber=426, squareRes=20.639767440550294, delay=151, status=PASS
inputNumber=599, squareRes=24.474476501040833, delay=157, status=PASS
inputNumber=526, squareRes=22.93468988235943, delay=159, status=PASS
inputNumber=102, squareRes=10.099504938362077, delay=140, status=PASS
inputNumber=397, squareRes=19.924858845171276, delay=159, status=PASS
inputNumber=571, squareRes=23.895606290697042, delay=151, status=PASS
inputNumber=724, squareRes=26.90724809414742, delay=132, status=PASS
inputNumber=747, squareRes=27.331300737432898, delay=159, status=PASS
inputNumber=726, squareRes=26.94438717061496, delay=173, status=PASS
inputNumber=705, squareRes=26.551836094703507, delay=156, status=PASS
inputNumber=661, squareRes=25.709920264364882, delay=152, status=PASS
inputNumber=582, squareRes=24.124676163629637, delay=178, status=PASS
inputNumber=878, squareRes=29.631064780058107, delay=170, status=PASS
inputNumber=132, squareRes=11.489125293076057, delay=150, status=PASS
inputNumber=299, squareRes=17.291616465790582, delay=146, status=PASS
inputNumber=652, squareRes=25.534290669607408, delay=152, status=PASS
inputNumber=988, squareRes=31.432467291003423, delay=170, status=PASS
inputNumber=747, squareRes=27.331300737432898, delay=143, status=PASS
inputNumber=6, squareRes=2.449489742783178, delay=142, status=PASS
inputNumber=490, squareRes=22.135943621178654, delay=142, status=PASS
inputNumber=806, squareRes=28.39013913315678, delay=137, status=PASS
inputNumber=277, squareRes=16.64331697709324, delay=147, status=PASS
inputNumber=697, squareRes=26.40075756488817, delay=169, status=PASS
inputNumber=466, squareRes=21.587033144922902, delay=164, status=PASS
inputNumber=47, squareRes=6.855654600401044, delay=166, status=PASS
inputNumber=844, squareRes=29.0516780926679, delay=148, status=PASS
inputNumber=199, squareRes=14.106735979665885, delay=152, status=PASS
inputNumber=10, squareRes=3.1622776601683795, delay=123, status=PASS
inputNumber=303, squareRes=17.406895185529212, delay=148, status=PASS
inputNumber=624, squareRes=24.979991993593593, delay=141, status=PASS
inputNumber=206, squareRes=14.352700094407323, delay=164, status=PASS
inputNumber=404, squareRes=20.09975124224178, delay=142, status=PASS
inputNumber=162, squareRes=12.727922061357855, delay=160, status=PASS
inputNumber=943, squareRes=30.708305065568176, delay=151, status=PASS
